doc_id,filename,format,word_count_target,sit_ids,labels,instances,confidences,tcs,actual_file_path,actual_word_count,docx_path,pdf_path,eml_path,attachments,postprocessed_at
11,doc_00011_pdf.txt,pdf,1311,SIT_AZURE_SAS,TP,1,Low,IP,output/files\doc_00011_pdf.txt,1337.0,output\files\doc_00011_pdf.docx,output\files\doc_00011_pdf.pdf,,,2025-11-03T11:27:59.827358Z
12,doc_00012_pdf.txt,pdf,3375,SIT_CAN_PASSPORT;SIT_AUS_MEDACC;SIT_IBAN,TP;TP;FP,19;3;1,High;Medium;Low,Finance;Travel;Healthcare,output/files\doc_00012_pdf.txt,3376.0,output\files\doc_00012_pdf.docx,output\files\doc_00012_pdf.pdf,,,2025-11-03T11:27:59.895367Z
13,doc_00013_document.txt,document,1280,SIT_BR_CPF;SIT_BR_RG;SIT_UK_NINO;SIT_FR_INSEE;SIT_IP,TP;TP;FP;FP;FP,4;8;10;8;3,Medium;High;Medium;Medium;Medium,IP;Tax;HR;Healthcare,output/files\doc_00013_document.txt,1284.0,output\files\doc_00013_document.docx,output\files\doc_00013_document.pdf,,,2025-11-03T11:27:59.947368Z
14,doc_00014_chat.txt,chat,746,SIT_HEALTHCARE_TC;SIT_HEALTH_FORMS,FP;FP,3;8,Medium;Medium,Healthcare,output/files\doc_00014_chat.txt,746.0,output\files\doc_00014_chat.docx,output\files\doc_00014_chat.pdf,,,2025-11-03T11:27:59.993359Z
15,doc_00015_email_with_attachment.txt,email_with_attachment,753,SIT_TAX_TC;SIT_HR_TC;SIT_INVOICE_TC;SIT_EMP_INSURANCE_TC;SIT_LEGAL_TC;SIT_AGREEMENTS_TC;SIT_DISCIPLINARY_TC,FP;FP;TP;FP;FP;FP;FP,10;1;4;3;7;5;5,Medium;Low;Medium;Medium;Medium;Medium;Medium,HR;Legal;Tax;Finance,output/files\doc_00015_email_with_attachment.txt,774.0,output\files\doc_00015_email_with_attachment.docx,output\files\doc_00015_email_with_attachment.pdf,output\files\doc_00015_email_with_attachment.eml,output\files\doc_00015_email_with_attachment_attachment.xlsx,2025-11-03T11:28:00.097361Z
16,doc_00016_chat.txt,chat,572,SIT_FINANCE_TC,TP,5,Medium,Finance,output/files\doc_00016_chat.txt,588.0,output\files\doc_00016_chat.docx,output\files\doc_00016_chat.pdf,,,2025-11-03T11:28:00.141360Z
17,doc_00017_email.txt,email,785,SIT_SOURCE_CODE_TC,FP,6,Medium,IP,output/files\doc_00017_email.txt,796.0,output\files\doc_00017_email.docx,output\files\doc_00017_email.pdf,output\files\doc_00017_email.eml,,2025-11-03T11:28:00.190374Z
18,doc_00018_pdf.txt,pdf,748,SIT_BUDGET_TC,TP,20,High,Finance,output/files\doc_00018_pdf.txt,760.0,output\files\doc_00018_pdf.docx,output\files\doc_00018_pdf.pdf,,,2025-11-03T11:28:00.237369Z
19,doc_00019_pdf.txt,pdf,747,SIT_IP_TC;SIT_MA_TC;SIT_SOFTWARE_DEV_TC;SIT_PROJECT_DOCS_TC,TP;TP;TP;TP,4;5;5;4,Medium;Medium;Medium;Medium,Finance;Legal;Project;Software;IP,output/files\doc_00019_pdf.txt,748.0,output\files\doc_00019_pdf.docx,output\files\doc_00019_pdf.pdf,,,2025-11-03T11:28:00.281133Z
20,doc_00020_chat.txt,chat,973,SIT_BANK_STATEMENT_TC,FP,1,Low,Finance,output/files\doc_00020_chat.txt,987.0,output\files\doc_00020_chat.docx,output\files\doc_00020_chat.pdf,,,2025-11-03T11:28:00.337943Z
21,doc_00021_chat.txt,chat,3996,SIT_LOAN_AGREEMENTS_TC;SIT_WIRE_TRANSFER_TC;SIT_SOW_TC;SIT_CCN,TP;TP;FP;TP,10;5;14;3,High;Medium;Medium;Medium,HR;Finance;Project,output/files\doc_00021_chat.txt,4017.0,output\files\doc_00021_chat.docx,output\files\doc_00021_chat.pdf,,,2025-11-03T11:28:00.408942Z
22,doc_00022_email.txt,email,1213,SIT_SSN,TP,4,Medium,Tax;HR,output/files\doc_00022_email.txt,1229.0,output\files\doc_00022_email.docx,output\files\doc_00022_email.pdf,output\files\doc_00022_email.eml,,2025-11-03T11:28:00.460945Z
23,doc_00023_email_with_attachment.txt,email_with_attachment,580,SIT_ITIN;SIT_PASSPORT_US_UK;SIT_BANK_US;SIT_DRIVER_US;SIT_ABA,TP;FP;TP;TP;TP,1;5;1;5;12,Low;Medium;Low;Medium;High,HR;Tax;Travel;Finance,output/files\doc_00023_email_with_attachment.txt,585.0,output\files\doc_00023_email_with_attachment.docx,output\files\doc_00023_email_with_attachment.pdf,output\files\doc_00023_email_with_attachment.eml,output\files\doc_00023_email_with_attachment_attachment.xlsx,2025-11-03T11:28:00.551946Z
24,doc_00024_email_with_attachment.txt,email_with_attachment,1108,SIT_DEA,FP,5,Medium,Healthcare,output/files\doc_00024_email_with_attachment.txt,1117.0,output\files\doc_00024_email_with_attachment.docx,output\files\doc_00024_email_with_attachment.pdf,output\files\doc_00024_email_with_attachment.eml,output\files\doc_00024_email_with_attachment_attachment.xlsx,2025-11-03T11:28:00.637946Z
25,doc_00025_email.txt,email,1136,SIT_EU_DEBIT;SIT_ICD10;SIT_ICD9;SIT_SWIFT;SIT_CAN_SIN,FP;FP;FP;TP;TP,4;1;1;4;12,Medium;Low;Low;Medium;High,Tax;HR;Finance;Healthcare,output/files\doc_00025_email.txt,1164.0,output\files\doc_00025_email.docx,output\files\doc_00025_email.pdf,output\files\doc_00025_email.eml,,2025-11-03T11:28:00.694943Z
26,doc_00026_email_with_attachment.txt,email_with_attachment,1383,SIT_CAN_BANK;SIT_AUS_TFN;SIT_CAN_PHIN;SIT_CAN_DRIVER;SIT_CAN_HEALTH;SIT_AUS_DRIVER;SIT_AUS_PASSPORT,FP;FP;TP;FP;FP;TP;FP,3;7;1;10;10;8;1,Medium;Medium;Low;Medium;Medium;High;Low,Finance;HR;Travel;Healthcare;Tax,output/files\doc_00026_email_with_attachment.txt,1393.0,output\files\doc_00026_email_with_attachment.docx,output\files\doc_00026_email_with_attachment.pdf,output\files\doc_00026_email_with_attachment.eml,output\files\doc_00026_email_with_attachment_attachment.xlsx,2025-11-03T11:28:00.791942Z
27,doc_00027_email.txt,email,768,SIT_AUS_BANK;SIT_AZURE_SAS;SIT_CAN_PASSPORT;SIT_AUS_MEDACC;SIT_IBAN;SIT_BR_CPF,FP;FP;FP;TP;TP;TP,1;7;10;11;4;1,Low;Medium;Medium;High;Medium;Low,Finance;HR;Travel;Healthcare;Tax;IP,output/files\doc_00027_email.txt,786.0,output\files\doc_00027_email.docx,output\files\doc_00027_email.pdf,output\files\doc_00027_email.eml,,2025-11-03T11:28:00.840947Z
28,doc_00028_chat.txt,chat,605,SIT_BR_RG;SIT_UK_NINO;SIT_FR_INSEE;SIT_IP;SIT_HEALTHCARE_TC;SIT_HEALTH_FORMS,FP;TP;FP;FP;TP;FP,3;7;10;3;6;1,Medium;High;Medium;Medium;High;Low,IP;Tax;HR;Healthcare,output/files\doc_00028_chat.txt,612.0,output\files\doc_00028_chat.docx,output\files\doc_00028_chat.pdf,,,2025-11-03T11:28:00.881943Z
29,doc_00029_document.txt,document,1306,SIT_TAX_TC;SIT_HR_TC;SIT_INVOICE_TC;SIT_EMP_INSURANCE_TC;SIT_LEGAL_TC,FP;FP;FP;FP;FP,7;13;1;1;7,Medium;Medium;Low;Low;Medium,HR;Legal;Tax;Finance,output/files\doc_00029_document.txt,1306.0,output\files\doc_00029_document.docx,output\files\doc_00029_document.pdf,,,2025-11-03T11:28:00.930943Z
30,doc_00030_email.txt,email,3868,SIT_AGREEMENTS_TC;SIT_DISCIPLINARY_TC,FP;FP,1;4,Low;Medium,Legal;HR;Finance,output/files\doc_00030_email.txt,3893.0,output\files\doc_00030_email.docx,output\files\doc_00030_email.pdf,output\files\doc_00030_email.eml,,2025-11-03T11:28:01.015945Z
31,doc_00031_chat.txt,chat,3467,SIT_FINANCE_TC,FP,4,Medium,Finance,output/files\doc_00031_chat.txt,3477.0,output\files\doc_00031_chat.docx,output\files\doc_00031_chat.pdf,,,2025-11-03T11:28:01.082943Z
32,doc_00032_document.txt,document,1387,SIT_SOURCE_CODE_TC;SIT_BUDGET_TC;SIT_IP_TC,FP;FP;FP,8;1;1,Medium;Low;Low,IP;Finance,output/files\doc_00032_document.txt,1387.0,output\files\doc_00032_document.docx,output\files\doc_00032_document.pdf,,,2025-11-03T11:28:01.132942Z
33,doc_00033_email.txt,email,1023,SIT_MA_TC,TP,8,High,Legal;Finance,output/files\doc_00033_email.txt,1029.0,output\files\doc_00033_email.docx,output\files\doc_00033_email.pdf,output\files\doc_00033_email.eml,,2025-11-03T11:28:01.185079Z
34,doc_00034_email.txt,email,571,SIT_SOFTWARE_DEV_TC;SIT_PROJECT_DOCS_TC,TP;FP,6;7,High;Medium,IP;Project;Software,output/files\doc_00034_email.txt,576.0,output\files\doc_00034_email.docx,output\files\doc_00034_email.pdf,output\files\doc_00034_email.eml,,2025-11-03T11:28:01.242051Z
35,doc_00035_document.txt,document,715,SIT_BANK_STATEMENT_TC;SIT_LOAN_AGREEMENTS_TC;SIT_WIRE_TRANSFER_TC;SIT_SOW_TC;SIT_CCN;SIT_SSN,FP;FP;TP;TP;FP;FP,8;4;1;4;20;3,Medium;Medium;Low;Medium;Medium;Medium,Tax;HR;Finance;Project,output/files\doc_00035_document.txt,728.0,output\files\doc_00035_document.docx,output\files\doc_00035_document.pdf,,,2025-11-03T11:28:01.290050Z
36,doc_00036_pdf.txt,pdf,525,SIT_ITIN;SIT_PASSPORT_US_UK;SIT_BANK_US;SIT_DRIVER_US;SIT_ABA;SIT_DEA,FP;FP;TP;FP;TP;FP,4;5;1;4;14;1,Medium;Medium;Low;Medium;High;Low,Finance;HR;Travel;Healthcare;Tax,output/files\doc_00036_pdf.txt,525.0,output\files\doc_00036_pdf.docx,output\files\doc_00036_pdf.pdf,,,2025-11-03T11:28:01.332049Z
37,doc_00037_email.txt,email,1407,SIT_EU_DEBIT,TP,6,High,Finance,output/files\doc_00037_email.txt,1418.0,output\files\doc_00037_email.docx,output\files\doc_00037_email.pdf,output\files\doc_00037_email.eml,,2025-11-03T11:28:01.383929Z
38,doc_00038_email_with_attachment.txt,email_with_attachment,1204,SIT_ICD10,FP,3,Medium,Healthcare,output/files\doc_00038_email_with_attachment.txt,1229.0,output\files\doc_00038_email_with_attachment.docx,output\files\doc_00038_email_with_attachment.pdf,output\files\doc_00038_email_with_attachment.eml,output\files\doc_00038_email_with_attachment_attachment.xlsx,2025-11-03T11:28:01.481378Z
39,doc_00039_email.txt,email,2589,SIT_ICD9;SIT_SWIFT;SIT_CAN_SIN;SIT_CAN_BANK,FP;FP;TP;FP,1;4;1;4,Low;Medium;Low;Medium,Tax;HR;Finance;Healthcare,output/files\doc_00039_email.txt,2590.0,output\files\doc_00039_email.docx,output\files\doc_00039_email.pdf,output\files\doc_00039_email.eml,,2025-11-03T11:28:01.547465Z
40,doc_00040_email_with_attachment.txt,email_with_attachment,1269,SIT_AUS_TFN;SIT_CAN_PHIN;SIT_CAN_DRIVER,FP;TP;FP,10;18;9,Medium;High;Medium,HR;Tax;Healthcare,output/files\doc_00040_email_with_attachment.txt,1293.0,output\files\doc_00040_email_with_attachment.docx,output\files\doc_00040_email_with_attachment.pdf,output\files\doc_00040_email_with_attachment.eml,output\files\doc_00040_email_with_attachment_attachment.xlsx,2025-11-03T11:28:01.648290Z
41,doc_00041_chat.txt,chat,563,SIT_CAN_HEALTH;SIT_AUS_DRIVER;SIT_AUS_PASSPORT;SIT_AUS_BANK;SIT_AZURE_SAS,FP;TP;TP;TP;TP,5;5;1;3;3,Medium;Medium;Low;Medium;Medium,Finance;HR;Travel;Healthcare;IP,output/files\doc_00041_chat.txt,576.0,output\files\doc_00041_chat.docx,output\files\doc_00041_chat.pdf,,,2025-11-03T11:28:01.694033Z
42,doc_00042_pdf.txt,pdf,2658,SIT_CAN_PASSPORT;SIT_AUS_MEDACC;SIT_IBAN,TP;TP;FP,1;20;1,Low;High;Low,Finance;Travel;Healthcare,output/files\doc_00042_pdf.txt,2679.0,output\files\doc_00042_pdf.docx,output\files\doc_00042_pdf.pdf,,,2025-11-03T11:28:01.756868Z
43,doc_00043_pdf.txt,pdf,529,SIT_BR_CPF;SIT_BR_RG;SIT_UK_NINO,TP;FP;FP,4;10;4,Medium;Medium;Medium,Tax;HR,output/files\doc_00043_pdf.txt,531.0,output\files\doc_00043_pdf.docx,output\files\doc_00043_pdf.pdf,,,2025-11-03T11:28:01.817320Z
44,doc_00044_pdf.txt,pdf,638,SIT_FR_INSEE;SIT_IP;SIT_HEALTHCARE_TC,FP;FP;FP,7;4;3,Medium;Medium;Medium,IP;HR;Healthcare,output/files\doc_00044_pdf.txt,646.0,output\files\doc_00044_pdf.docx,output\files\doc_00044_pdf.pdf,,,2025-11-03T11:28:01.902869Z
45,doc_00045_pdf.txt,pdf,845,SIT_HEALTH_FORMS,TP,1,Low,Healthcare,output/files\doc_00045_pdf.txt,856.0,output\files\doc_00045_pdf.docx,output\files\doc_00045_pdf.pdf,,,2025-11-03T11:28:01.973405Z
46,doc_00046_pdf.txt,pdf,1267,SIT_TAX_TC,FP,3,Medium,Tax,output/files\doc_00046_pdf.txt,1285.0,output\files\doc_00046_pdf.docx,output\files\doc_00046_pdf.pdf,,,2025-11-03T11:28:02.047805Z
47,doc_00047_email_with_attachment.txt,email_with_attachment,1480,SIT_HR_TC,FP,1,Low,HR,output/files\doc_00047_email_with_attachment.txt,1482.0,output\files\doc_00047_email_with_attachment.docx,output\files\doc_00047_email_with_attachment.pdf,output\files\doc_00047_email_with_attachment.eml,output\files\doc_00047_email_with_attachment_attachment.xlsx,2025-11-03T11:28:02.143203Z
48,doc_00048_email.txt,email,1120,SIT_INVOICE_TC;SIT_EMP_INSURANCE_TC;SIT_LEGAL_TC;SIT_AGREEMENTS_TC,TP;TP;FP;TP,1;1;3;1,Low;Low;Medium;Low,Legal;HR;Finance,output/files\doc_00048_email.txt,1135.0,output\files\doc_00048_email.docx,output\files\doc_00048_email.pdf,output\files\doc_00048_email.eml,,2025-11-03T11:28:02.199773Z
49,doc_00049_email_with_attachment.txt,email_with_attachment,1722,SIT_DISCIPLINARY_TC;SIT_FINANCE_TC;SIT_SOURCE_CODE_TC;SIT_BUDGET_TC;SIT_IP_TC;SIT_MA_TC;SIT_SOFTWARE_DEV_TC,FP;TP;FP;TP;FP;TP;FP,1;4;17;6;7;10;10,Low;Medium;Medium;High;Medium;High;Medium,Finance;Legal;HR;Software;IP,output/files\doc_00049_email_with_attachment.txt,1756.0,output\files\doc_00049_email_with_attachment.docx,output\files\doc_00049_email_with_attachment.pdf,output\files\doc_00049_email_with_attachment.eml,output\files\doc_00049_email_with_attachment_attachment.xlsx,2025-11-03T11:28:02.328643Z
50,doc_00050_email_with_attachment.txt,email_with_attachment,2083,SIT_PROJECT_DOCS_TC;SIT_BANK_STATEMENT_TC;SIT_LOAN_AGREEMENTS_TC,TP;FP;TP,3;6;4,Medium;Medium;Medium,HR;Finance;Project,output/files\doc_00050_email_with_attachment.txt,2090.0,output\files\doc_00050_email_with_attachment.docx,output\files\doc_00050_email_with_attachment.pdf,output\files\doc_00050_email_with_attachment.eml,output\files\doc_00050_email_with_attachment_attachment.xlsx,2025-11-03T11:28:02.447698Z
51,doc_00051_chat.txt,chat,1006,SIT_WIRE_TRANSFER_TC;SIT_SOW_TC;SIT_CCN;SIT_SSN;SIT_ITIN;SIT_PASSPORT_US_UK,TP;FP;FP;TP;FP;TP,10;5;1;15;1;4,High;Medium;Low;High;Low;Medium,Finance;HR;Travel;Project;Tax,output/files\doc_00051_chat.txt,1006.0,output\files\doc_00051_chat.docx,output\files\doc_00051_chat.pdf,,,2025-11-03T11:28:02.502806Z
52,doc_00052_document.txt,document,1110,SIT_BANK_US,TP,8,High,Finance,output/files\doc_00052_document.txt,1112.0,output\files\doc_00052_document.docx,output\files\doc_00052_document.pdf,,,2025-11-03T11:28:02.567069Z
53,doc_00053_document.txt,document,1228,SIT_DRIVER_US;SIT_ABA,TP;FP,9;1,High;Low,HR;Finance,output/files\doc_00053_document.txt,1231.0,output\files\doc_00053_document.docx,output\files\doc_00053_document.pdf,,,2025-11-03T11:28:02.631326Z
54,doc_00054_pdf.txt,pdf,984,SIT_DEA;SIT_EU_DEBIT,TP;FP,1;1,Low;Low,Finance;Healthcare,output/files\doc_00054_pdf.txt,996.0,output\files\doc_00054_pdf.docx,output\files\doc_00054_pdf.pdf,,,2025-11-03T11:28:02.689236Z
55,doc_00055_email_with_attachment.txt,email_with_attachment,622,SIT_ICD10;SIT_ICD9;SIT_SWIFT,FP;FP;TP,4;1;1,Medium;Low;Low,Finance;Healthcare,output/files\doc_00055_email_with_attachment.txt,630.0,output\files\doc_00055_email_with_attachment.docx,output\files\doc_00055_email_with_attachment.pdf,output\files\doc_00055_email_with_attachment.eml,output\files\doc_00055_email_with_attachment_attachment.xlsx,2025-11-03T11:28:02.783603Z
56,doc_00056_email_with_attachment.txt,email_with_attachment,990,SIT_CAN_SIN;SIT_CAN_BANK;SIT_AUS_TFN;SIT_CAN_PHIN;SIT_CAN_DRIVER;SIT_CAN_HEALTH;SIT_AUS_DRIVER;SIT_AUS_PASSPORT,TP;FP;FP;TP;TP;TP;TP;TP,8;19;14;4;4;1;18;1,High;Medium;Medium;Medium;Medium;Low;High;Low,Finance;HR;Travel;Healthcare;Tax,output/files\doc_00056_email_with_attachment.txt,997.0,output\files\doc_00056_email_with_attachment.docx,output\files\doc_00056_email_with_attachment.pdf,output\files\doc_00056_email_with_attachment.eml,output\files\doc_00056_email_with_attachment_attachment.xlsx,2025-11-03T11:28:02.875421Z
57,doc_00057_pdf.txt,pdf,1202,SIT_AUS_BANK;SIT_AZURE_SAS,TP;FP,6;3,High;Medium,IP;Finance,output/files\doc_00057_pdf.txt,1212.0,output\files\doc_00057_pdf.docx,output\files\doc_00057_pdf.pdf,,,2025-11-03T11:28:02.924212Z
58,doc_00058_email.txt,email,785,SIT_CAN_PASSPORT,FP,12,Medium,Travel,output/files\doc_00058_email.txt,817.0,output\files\doc_00058_email.docx,output\files\doc_00058_email.pdf,output\files\doc_00058_email.eml,,2025-11-03T11:28:02.972945Z
59,doc_00059_email_with_attachment.txt,email_with_attachment,943,SIT_AUS_MEDACC;SIT_IBAN;SIT_BR_CPF;SIT_BR_RG;SIT_UK_NINO;SIT_FR_INSEE,FP;TP;FP;FP;FP;FP,5;15;15;1;1;4,Medium;High;Medium;Low;Low;Medium,Tax;HR;Finance;Healthcare,output/files\doc_00059_email_with_attachment.txt,962.0,output\files\doc_00059_email_with_attachment.docx,output\files\doc_00059_email_with_attachment.pdf,output\files\doc_00059_email_with_attachment.eml,output\files\doc_00059_email_with_attachment_attachment.xlsx,2025-11-03T11:28:03.068389Z
60,doc_00060_chat.txt,chat,1108,SIT_IP,TP,1,Low,IP,output/files\doc_00060_chat.txt,1134.0,output\files\doc_00060_chat.docx,output\files\doc_00060_chat.pdf,,,2025-11-03T11:28:03.118212Z
61,doc_00061_pdf.txt,pdf,739,SIT_HEALTHCARE_TC,TP,9,High,Healthcare,output/files\doc_00061_pdf.txt,749.0,output\files\doc_00061_pdf.docx,output\files\doc_00061_pdf.pdf,,,2025-11-03T11:28:03.164722Z
62,doc_00062_document.txt,document,3166,SIT_HEALTH_FORMS;SIT_TAX_TC;SIT_HR_TC;SIT_INVOICE_TC;SIT_EMP_INSURANCE_TC;SIT_LEGAL_TC,FP;TP;TP;TP;FP;FP,7;5;1;1;5;4,Medium;Medium;Low;Low;Medium;Medium,Finance;Legal;HR;Healthcare;Tax,output/files\doc_00062_document.txt,3169.0,output\files\doc_00062_document.docx,output\files\doc_00062_document.pdf,,,2025-11-03T11:28:03.230949Z
63,doc_00063_pdf.txt,pdf,3813,SIT_AGREEMENTS_TC;SIT_DISCIPLINARY_TC;SIT_FINANCE_TC;SIT_SOURCE_CODE_TC;SIT_BUDGET_TC;SIT_IP_TC;SIT_MA_TC;SIT_SOFTWARE_DEV_TC;SIT_PROJECT_DOCS_TC;SIT_BANK_STATEMENT_TC,TP;FP;TP;FP;FP;TP;FP;TP;FP;TP,4;3;20;1;10;9;4;5;18;1,Medium;Medium;High;Low;Medium;High;Medium;Medium;Medium;Low,Finance;Legal;HR;Project;Software;IP,output/files\doc_00063_pdf.txt,3820.0,output\files\doc_00063_pdf.docx,output\files\doc_00063_pdf.pdf,,,2025-11-03T11:28:03.316858Z
64,doc_00064_chat.txt,chat,3842,SIT_LOAN_AGREEMENTS_TC;SIT_WIRE_TRANSFER_TC;SIT_SOW_TC,TP;TP;TP,19;1;1,High;Low;Low,HR;Finance;Project,output/files\doc_00064_chat.txt,3856.0,output\files\doc_00064_chat.docx,output\files\doc_00064_chat.pdf,,,2025-11-03T11:28:03.388840Z
65,doc_00065_email_with_attachment.txt,email_with_attachment,1215,SIT_CCN;SIT_SSN;SIT_ITIN;SIT_PASSPORT_US_UK,FP;TP;FP;TP,4;5;3;4,Medium;Medium;Medium;Medium,Travel;Tax;HR;Finance,output/files\doc_00065_email_with_attachment.txt,1224.0,output\files\doc_00065_email_with_attachment.docx,output\files\doc_00065_email_with_attachment.pdf,output\files\doc_00065_email_with_attachment.eml,output\files\doc_00065_email_with_attachment_attachment.xlsx,2025-11-03T11:28:03.480842Z
66,doc_00066_pdf.txt,pdf,1572,SIT_BANK_US,FP,3,Medium,Finance,output/files\doc_00066_pdf.txt,1578.0,output\files\doc_00066_pdf.docx,output\files\doc_00066_pdf.pdf,,,2025-11-03T11:28:03.531618Z
67,doc_00067_email_with_attachment.txt,email_with_attachment,764,SIT_DRIVER_US,TP,1,Low,HR,output/files\doc_00067_email_with_attachment.txt,776.0,output\files\doc_00067_email_with_attachment.docx,output\files\doc_00067_email_with_attachment.pdf,output\files\doc_00067_email_with_attachment.eml,output\files\doc_00067_email_with_attachment_attachment.xlsx,2025-11-03T11:28:03.621444Z
68,doc_00068_pdf.txt,pdf,1101,SIT_ABA;SIT_DEA;SIT_EU_DEBIT;SIT_ICD10;SIT_ICD9;SIT_SWIFT;SIT_CAN_SIN;SIT_CAN_BANK,TP;FP;FP;FP;FP;TP;TP;FP,10;4;1;5;6;9;8;1,High;Medium;Low;Medium;Medium;High;High;Low,Tax;HR;Finance;Healthcare,output/files\doc_00068_pdf.txt,1110.0,output\files\doc_00068_pdf.docx,output\files\doc_00068_pdf.pdf,,,2025-11-03T11:28:03.669442Z
69,doc_00069_email_with_attachment.txt,email_with_attachment,1432,SIT_AUS_TFN;SIT_CAN_PHIN;SIT_CAN_DRIVER;SIT_CAN_HEALTH;SIT_AUS_DRIVER;SIT_AUS_PASSPORT;SIT_AUS_BANK;SIT_AZURE_SAS;SIT_CAN_PASSPORT;SIT_AUS_MEDACC,FP;TP;TP;FP;TP;TP;TP;FP;TP;FP,4;5;14;1;9;9;5;3;16;9,Medium;Medium;High;Low;High;High;Medium;Medium;High;Medium,Finance;HR;Travel;Healthcare;Tax;IP,output/files\doc_00069_email_with_attachment.txt,1433.0,output\files\doc_00069_email_with_attachment.docx,output\files\doc_00069_email_with_attachment.pdf,output\files\doc_00069_email_with_attachment.eml,output\files\doc_00069_email_with_attachment_attachment.xlsx,2025-11-03T11:28:03.765436Z
70,doc_00070_pdf.txt,pdf,1300,SIT_IBAN,TP,7,High,Finance,output/files\doc_00070_pdf.txt,1319.0,output\files\doc_00070_pdf.docx,output\files\doc_00070_pdf.pdf,,,2025-11-03T11:28:03.815442Z
71,doc_00071_document.txt,document,570,SIT_BR_CPF;SIT_BR_RG;SIT_UK_NINO,FP;TP;FP,10;1;10,Medium;Low;Medium,Tax;HR,output/files\doc_00071_document.txt,572.0,output\files\doc_00071_document.docx,output\files\doc_00071_document.pdf,,,2025-11-03T11:28:03.857432Z
